byte,count
a51e,15
cdee,18
17cd,16
1f84,13
bd66,13
df46,19
6bea,12
17da,15
7e4b,7
cae0,17
5f92,18
6456,12
ec63,14
1231,13
ceb8,10
5cc5,11
8990,14
180a,16
7a35,12
9ad9,15
cc1f,15
beeb,10
3992,7
5c69,11
e509,10
b769,15
b27f,16
1b96,10
4c5f,9
35d8,18
15c6,10
eea3,8
ee7c,16
539a,18
bb4f,9
0748,4
3011,15
a48f,10
e4d9,17
c60c,15
c45b,14
70c3,19
d129,13
f659,20
6a81,12
f7ff,16
5ea0,9
8cc9,15
a57d,16
656d,22
bf2f,17
0a69,18
6ae4,17
a004,16
ee7f,18
0774,7
7080,19
28d6,14
d7f4,17
be12,12
fb1f,10
10ef,16
68d4,10
6aa6,8
37e6,15
5585,9
0c4e,12
714f,13
e20c,12
318f,21
dd07,20
0f5f,15
426f,21
d63b,18
c806,13
0b4f,16
1d1b,18
e969,18
1013,10
61a0,21
5129,13
5e83,9
3b34,13
82b3,12
b18a,20
fbf2,21
25e4,16
e6b5,18
4cad,23
185d,20
dcae,14
24f8,15
8af4,14
f702,6
d7c6,17
063f,19
2036,16
2b44,18
894c,16
5c7f,14
8a4b,21
bcec,14
481a,14
5efe,16
a73b,15
33d8,16
f634,13
cbc4,11
9b0b,12
639a,12
d58a,12
cb31,20
ba66,14
ef34,16
4e92,18
80fb,14
3f33,19
c216,15
261c,14
2136,15
b2f2,25
e140,17
d4c8,11
4b74,8
64a3,14
7f6a,12
c27d,7
067c,10
929b,9
ce69,16
20f2,13
85a1,11
13b3,11
13fd,15
e5bf,22
c3c9,15
2390,14
aca4,12
1035,18
45b5,10
12c3,13
1105,18
e299,12
7ca6,12
e0f8,19
9ceb,20
fc5a,8
f70a,16
cca0,22
9082,19
2e56,947
6d16,8
748e,21
6cfc,16
9ddb,12
181a,21
5eae,10
d960,18
90c4,12
cef6,8
a665,8
707f,16
35c4,20
7dfc,15
eefd,15
06ad,13
c73d,13
577f,25
fe9c,19
2258,16
3334,16
1087,10
848f,18
941d,11
4ec9,12
8705,14
194c,10
fdf6,16
0f69,10
7202,15
17c8,20
01e4,10
3b63,13
e2d2,13
ccaa,10
41b9,18
3f20,15
5eb1,13
2a19,13
49ef,16
6377,13
244f,12
2111,13
90bf,16
8862,16
1920,14
e463,19
47b6,12
faab,17
3ec0,14
cbf2,16
a7a3,14
7e7a,13
d704,13
ff79,14
1ec4,15
e1f1,17
f8e5,14
07be,13
7b2f,14
c07b,11
7d27,7
1946,19
a96a,15
b362,21
a83b,11
3a5a,13
0ef3,18
bddd,11
ca5e,22
3a35,14
b242,11
97a5,12
db67,15
0c59,21
4fe2,14
f205,14
a2e2,23
1ffd,24
af2f,15
e9e3,17
f307,17
f592,18
50b5,10
5549,11
f4b8,11
f85d,13
2967,10
35cb,18
c294,12
c706,20
ffc2,10
82f9,18
a17e,9
309f,19
ca27,10
8b9d,9
8c41,14
4f51,18
cf70,17
e992,18
dd01,20
f32d,20
250a,12
81c0,943
67bb,12
296f,11
e1b6,18
6f50,17
6b0d,14
a880,11
1734,17
d2f0,12
3d8e,16
d794,12
a2d2,15
a8fb,13
fffe,10
a998,14
0b98,15
c73e,12
d61a,14
36aa,12
2fd0,19
d2b5,15
f5c0,12
306c,14
230d,11
d7df,18
be30,17
2180,8
ca0f,17
be17,22
3d90,14
c108,14
00ef,11
7183,22
2fcc,18
77eb,20
4b21,15
46b8,12
fb9a,945
2845,14
9da0,13
72b1,17
db7b,15
67e1,10
264f,12
9e1a,14
977b,10
fcce,10
e698,19
cd09,12
ea15,10
837f,15
f745,21
7110,12
7fce,14
bdaa,8
4374,16
3117,15
eda3,18
8336,14
fd32,14
66ba,16
4317,14
c621,19
3408,17
0f23,12
9ac8,10
08db,12
ac14,13
6268,14
2f72,15
7498,12
362f,20
449e,17
8da5,12
6307,14
6499,21
6d0c,12
08e2,12
b964,16
0bc6,11
140d,22
9ff1,10
3525,13
8791,15
df56,15
f918,10
09c9,5
8ede,12
fb76,10
d5b4,16
57c8,14
547c,10
d90a,17
9fcf,22
50c1,8
8f1f,20
3142,15
2e92,14
46a6,12
f29c,21
c1ed,21
19a8,17
1b29,10
0c5c,15
b2ad,17
832b,17
a142,9
468b,12
ff0d,17
65ea,19
2eda,20
f6a6,9
8803,17
2c08,12
c296,15
0ee0,16
364e,11
6558,15
e2d4,10
9eca,13
2eed,11
0837,15
73ca,13
fd18,11
5823,13
6b22,15
8113,18
4fac,11
988a,493
f9c9,15
684d,16
2dd7,12
9e74,8
7b6c,11
1e4b,9
2671,14
178a,11
d32c,14
036c,11
0ecd,16
94c7,13
fc58,10
9aab,16
9e0c,13
398e,15
ba85,15
0bf3,18
4126,10
27e1,7
195a,18
b5d6,14
7515,15
54e3,14
4a35,13
8a20,11
31a3,11
2ee1,18
7653,15
d414,12
a2a3,23
70dd,12
311c,15
bf93,12
ed34,11
df62,11
accd,17
e00e,16
4de8,14
77a2,13
d351,10
1812,10
d6f3,18
942f,11
bfb2,13
03d1,18
ff09,11
606e,20
7665,13
495a,12
2557,15
590d,17
1906,12
0f26,12
f8ad,8
1e2a,15
2b83,14
c2b4,16
67d7,14
891e,16
864c,16
890c,11
810c,31
0d3c,16
3b7c,17
6f37,14
97a6,14
dfeb,17
b185,17
cbcf,15
38db,20
dfea,15
60b3,13
0301,10
918d,15
c58a,13
38dc,14
8be9,19
bee5,11
1e3b,20
766a,17
26ea,18
f960,15
2bb2,17
6135,11
c230,14
e1ea,10
79b0,13
1d27,20
e785,13
c6d0,13
3ca9,22
234d,15
e28d,10
4256,17
226d,7
f3d0,20
07d0,13
49df,18
c4e5,20
b6b8,10
96cb,23
c51b,11
57f9,13
d4f3,15
f5f8,12
fb01,10
25fb,15
40cb,21
adf5,19
f1c5,14
1ef5,13
f4b7,11
6e60,16
77a5,10
2b92,21
b4ec,14
e2dc,17
7d72,10
c47e,17
7e0c,16
0dd4,17
0b6a,14
5b73,14
5adc,15
938c,15
1ab7,12
5d53,14
449f,13
c3e0,12
de7a,12
2926,21
5460,18
d518,17
6c44,11
1505,17
bf52,13
0c1d,11
a763,13
4a47,16
8153,15
78e4,23
a4b8,15
1f0e,14
80ba,23
8ab4,20
504e,10
843d,18
e7ef,13
bdee,18
cb36,24
af83,16
2073,18
4599,17
4290,956
29e0,14
c254,11
c11f,18
aaa9,13
ff01,14
20e5,10
fc64,13
022c,12
a1f9,10
5745,13
ff80,18
a200,10
eeaf,14
a563,11
e358,11
08ec,15
0d80,17
0979,16
67c2,19
6a8f,11
c32e,15
e096,15
0cb0,12
8e36,23
ba7b,15
61f3,20
96dd,13
e187,22
b82c,17
5427,18
bbdb,19
d5a3,10
0c6c,15
9671,12
8841,14
93d7,20
99ac,16
e346,19
94b3,12
ba41,19
94d8,16
3397,8
f170,15
774d,17
83c8,14
3e1c,9
6fc4,15
c5d4,18
48e6,14
31f3,15
4d9b,10
0974,17
ea20,21
cc7a,10
396c,13
9d0d,17
a721,15
62f1,14
3354,10
a04d,22
2173,15
e673,16
e5f2,18
07f7,13
6e45,15
3600,9
a5c5,12
3ecc,10
827c,18
a852,10
8a75,20
2ebc,11
21bb,15
400d,20
6b36,9
584c,15
adeb,20
69d0,18
e62d,11
5abd,12
0660,12
6f9e,7
d0a2,25
8bb9,17
d0f2,11
7524,11
e6b6,25
04d1,17
e3f0,10
c49e,12
9d23,21
c241,15
940e,15
ab7d,15
8b21,15
54fa,14
0c54,14
4813,16
33a1,19
f509,16
6471,18
6f28,19
8dbc,19
1fc9,10
075f,17
c14e,17
62fe,19
d55d,15
6b5e,13
7cee,15
0469,16
8acb,16
fc18,19
5d60,17
0ec6,9
8f29,11
e916,18
6f49,13
2f71,16
a158,17
c68b,11
e60f,9
2b12,13
b085,15
7a8a,17
1991,19
befd,11
a84d,16
f59f,17
550b,18
2b77,18
407c,17
b741,13
7397,14
20ff,21
c337,17
6efe,19
7bce,9
47d6,17
2ae1,17
0c2b,18
fddf,17
2530,15
b718,17
e277,25
8fc2,12
3da6,15
2032,18
0ebc,20
f163,15
19cb,15
619d,10
089c,12
c46a,9
11d7,15
737c,14
9b3d,15
576a,13
51a8,21
a740,13
0ea9,17
